, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  10  Sequence:  2  Sequence mean error:  tensor(0.7702, device='cuda:0')  Sequence final error:  tensor(1.5437, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  10  Sequence:  3  Sequence mean error:  tensor(0.9869, device='cuda:0')  Sequence final error:  tensor(1.9128, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  10  Sequence:  4  Sequence mean error:  tensor(0.9420, device='cuda:0')  Sequence final error:  tensor(1.9041, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  10  Sequence:  5  Sequence mean error:  tensor(0.9840, device='cuda:0')  Sequence final error:  tensor(1.6123, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  11  Sequence:  1  Sequence mean error:  tensor(1.0134, device='cuda:0')  Sequence final error:  tensor(1.6528, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  11  Sequence:  2  Sequence mean error:  tensor(1.0479, device='cuda:0')  Sequence final error:  tensor(1.6067, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  11  Sequence:  3  Sequence mean error:  tensor(1.0749, device='cuda:0')  Sequence final error:  tensor(2.0041, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  11  Sequence:  4  Sequence mean error:  tensor(1.1489, device='cuda:0')  Sequence final error:  tensor(1.9852, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  11  Sequence:  5  Sequence mean error:  tensor(1.0243, device='cuda:0')  Sequence final error:  tensor(1.8354, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  12  Sequence:  1  Sequence mean error:  tensor(1.0105, device='cuda:0')  Sequence final error:  tensor(1.2779, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  12  Sequence:  2  Sequence mean error:  tensor(0.9756, device='cuda:0')  Sequence final error:  tensor(1.8296, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  12  Sequence:  3  Sequence mean error:  tensor(0.9740, device='cuda:0')  Sequence final error:  tensor(2.0044, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  12  Sequence:  4  Sequence mean error:  tensor(0.8910, device='cuda:0')  Sequence final error:  tensor(0.9197, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  12  Sequence:  5  Sequence mean error:  tensor(0.8336, device='cuda:0')  Sequence final error:  tensor(1.3545, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  13  Sequence:  1  Sequence mean error:  tensor(0.8739, device='cuda:0')  Sequence final error:  tensor(0.9903, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  13  Sequence:  2  Sequence mean error:  tensor(0.7571, device='cuda:0')  Sequence final error:  tensor(1.0167, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  13  Sequence:  3  Sequence mean error:  tensor(0.8136, device='cuda:0')  Sequence final error:  tensor(2.1040, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  13  Sequence:  4  Sequence mean error:  tensor(0.3398, device='cuda:0')  Sequence final error:  tensor(0.3370, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  13  Sequence:  5  Sequence mean error:  tensor(0.5954, device='cuda:0')  Sequence final error:  tensor(1.2581, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  14  Sequence:  1  Sequence mean error:  tensor(0.7672, device='cuda:0')  Sequence final error:  tensor(1.7700, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  14  Sequence:  2  Sequence mean error:  tensor(0.7894, device='cuda:0')  Sequence final error:  tensor(0.7580, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  14  Sequence:  3  Sequence mean error:  tensor(0.7664, device='cuda:0')  Sequence final error:  tensor(0.8123, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  14  Sequence:  4  Sequence mean error:  tensor(0.7573, device='cuda:0')  Sequence final error:  tensor(1.0879, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  14  Sequence:  5  Sequence mean error:  tensor(0.8178, device='cuda:0')  Sequence final error:  tensor(1.7209, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  15  Sequence:  1  Sequence mean error:  tensor(0.9508, device='cuda:0')  Sequence final error:  tensor(1.7560, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  15  Sequence:  2  Sequence mean error:  tensor(0.8499, device='cuda:0')  Sequence final error:  tensor(1.6726, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  15  Sequence:  3  Sequence mean error:  tensor(0.7901, device='cuda:0')  Sequence final error:  tensor(1.5036, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  15  Sequence:  4  Sequence mean error:  tensor(0.7196, device='cuda:0')  Sequence final error:  tensor(1.3090, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  15  Sequence:  5  Sequence mean error:  tensor(0.6730, device='cuda:0')  Sequence final error:  tensor(0.7312, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  16  Sequence:  1  Sequence mean error:  tensor(1.5078, device='cuda:0')  Sequence final error:  tensor(1.6959, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  16  Sequence:  2  Sequence mean error:  tensor(1.4469, device='cuda:0')  Sequence final error:  tensor(2.8524, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  16  Sequence:  3  Sequence mean error:  tensor(1.1385, device='cuda:0')  Sequence final error:  tensor(2.3523, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  16  Sequence:  4  Sequence mean error:  tensor(1.4860, device='cuda:0')  Sequence final error:  tensor(2.9113, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  16  Sequence:  5  Sequence mean error:  tensor(1.6351, device='cuda:0')  Sequence final error:  tensor(3.2044, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  17  Sequence:  1  Sequence mean error:  tensor(1.9478, device='cuda:0')  Sequence final error:  tensor(4.0307, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  17  Sequence:  2  Sequence mean error:  tensor(2.4829, device='cuda:0')  Sequence final error:  tensor(5.5866, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  17  Sequence:  3  Sequence mean error:  tensor(0.9463, device='cuda:0')  Sequence final error:  tensor(1.6681, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  17  Sequence:  4  Sequence mean error:  tensor(0.8961, device='cuda:0')  Sequence final error:  tensor(2.5563, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  17  Sequence:  5  Sequence mean error:  tensor(1.9188, device='cuda:0')  Sequence final error:  tensor(4.3769, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  18  Sequence:  1  Sequence mean error:  tensor(1.9810, device='cuda:0')  Sequence final error:  tensor(4.3532, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  18  Sequence:  2  Sequence mean error:  tensor(1.9062, device='cuda:0')  Sequence final error:  tensor(4.6060, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  18  Sequence:  3  Sequence mean error:  tensor(0.7278, device='cuda:0')  Sequence final error:  tensor(1.2204, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  18  Sequence:  4  Sequence mean error:  tensor(0.7153, device='cuda:0')  Sequence final error:  tensor(0.7491, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  18  Sequence:  5  Sequence mean error:  tensor(0.3434, device='cuda:0')  Sequence final error:  tensor(0.3903, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  19  Sequence:  1  Sequence mean error:  tensor(0.3736, device='cuda:0')  Sequence final error:  tensor(0.3697, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  19  Sequence:  2  Sequence mean error:  tensor(0.4422, device='cuda:0')  Sequence final error:  tensor(0.4087, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  19  Sequence:  3  Sequence mean error:  tensor(2.2882, device='cuda:0')  Sequence final error:  tensor(4.5880, device='cuda:0')  time:  0.29308509826660156
